Date,Adj Close,Close,High,Low,Open,Volume
2023-09-21,69.25,71.1,71.55,71,71.55,7139877
2023-09-22,69.06,70.9,71,70.5,70.85,4141276
2023-09-25,69.59,71.45,71.55,70.95,70.95,2181051
2023-09-26,68.76,70.6,71.2,70.55,71.2,5707942
2023-09-27,68.76,70.6,70.7,70.25,70.5,2674012
2023-09-28,69.01,70.85,71.15,70.55,71.15,2561556
2023-10-02,69.93,71.8,71.9,71.45,71.45,2251966
2023-10-03,69.59,71.45,71.8,71.35,71.8,2383073
2023-10-04,68.71,70.55,70.7,70.2,70.65,3853349
2023-10-05,69.54,71.4,71.45,70.85,70.9,2017394
2023-10-06,69.88,71.75,71.9,71.65,71.75,3514294
2023-10-11,70.96,72.85,73,72.55,72.7,3353580
2023-10-12,71.54,73.45,73.45,72.9,73,3247692
2023-10-13,71.39,73.3,73.5,73.05,73.25,2335602
2023-10-16,71,72.9,73.05,72.7,73.05,3905422
2023-10-17,71,72.9,73.35,72.9,73.2,1933450
2023-10-18,70.22,72.1,72.75,72,72.75,3552529
2023-10-19,70.37,72.25,72.4,71.6,71.6,2030342
2023-10-20,70.47,72.35,72.5,71.7,72.1,3689607
2023-10-23,69.69,71.55,72.15,71.5,72.15,3164831
2023-10-24,69.74,71.6,71.6,70.95,71.5,3364799
2023-10-25,69.84,71.7,72.25,71.7,71.7,3637231
2023-10-26,68.71,70.55,70.8,70.35,70.55,7870642
2023-10-27,68.81,70.65,70.95,70.6,70.6,2673523
2023-10-30,68.71,70.55,71,70.35,70.65,4911640
2023-10-31,68.28,70.1,70.75,70,70.7,5322500
2023-11-01,68.47,70.3,70.6,70.1,70.45,2621039
2023-11-02,70.13,72,72,71.05,71.15,3014068
2023-11-03,70.52,72.4,72.45,72.1,72.3,2882386
2023-11-06,71.15,73.05,73.4,72.9,73,5152446
2023-11-07,71.1,73,73.1,72.8,73,1991575
2023-11-08,71.44,73.35,73.5,72.95,72.95,4009535
2023-11-09,71.54,73.45,73.55,73.15,73.25,3505534
2023-11-10,71.25,73.15,73.25,73,73.2,3119690
2023-11-13,72.32,74.25,74.9,74.1,74.65,5978812
2023-11-14,72.56,74.5,74.7,74.35,74.5,3799971
2023-11-15,73.34,75.3,75.5,74.9,75.3,5766805
2023-11-16,73.5,74.6,74.9,74.35,74.75,4257414
2023-11-17,73.65,74.75,75,74.55,74.6,3738079
2023-11-20,73.55,74.65,74.85,74.45,74.75,3436194
2023-11-21,74.44,75.55,75.6,75.05,75.05,5219057
2023-11-22,73.89,75,75.15,74.75,75.15,2113003
2023-11-23,73.8,74.9,75.05,74.6,75,1664954
2023-11-24,73.75,74.85,75.05,74.8,75,1631349
2023-11-27,73.11,74.2,75.15,74.2,74.85,5327343
2023-11-28,73.75,74.85,75.15,74.25,74.25,2190716
2023-11-29,73.7,74.8,75.35,74.75,75,2314721
2023-11-30,73.84,74.95,74.95,74.5,74.9,1791284
2023-12-01,73.94,75.05,75.05,74.65,74.8,2428659
2023-12-04,73.8,74.9,75.35,74.65,75.25,2217799
2023-12-05,73.3,74.4,74.55,74.05,74.55,3435279
2023-12-06,73.5,74.6,74.95,74.4,74.4,4349619
2023-12-07,73.11,74.2,74.55,74.2,74.45,1590832
2023-12-08,73.55,74.65,75.05,74.6,74.9,2236745
2023-12-11,73.7,74.8,74.9,74.55,74.7,1779546
2023-12-12,73.84,74.95,75.3,74.85,75.2,2055906
2023-12-13,73.94,75.05,75.15,74.95,75.05,2277424
2023-12-14,74.68,75.8,76,75.55,75.7,7179105
2023-12-15,74.93,76.05,76.3,75.95,76.15,7678259
2023-12-18,74.98,76.1,76.15,75.6,76.05,4971625
2023-12-19,74.83,75.95,76.25,75.7,76.1,3003006
2023-12-20,74.98,76.1,76.25,76,76.1,2462108
2023-12-21,74.39,75.5,75.6,75.25,75.4,1854310
2023-12-22,74.53,75.65,75.85,75.55,75.7,3291072
2023-12-25,74.88,76,76.15,75.8,75.8,2948382
2023-12-26,75.27,76.4,76.4,76.05,76.1,4852451
2023-12-27,75.96,77.1,77.15,76.6,76.65,6587778
2023-12-28,76.06,77.2,77.25,76.9,77.1,4817329
2023-12-29,76.01,77.15,77.35,77,77.15,2377629
2024-01-02,75.77,76.9,77.35,76.7,77.15,2839850
2024-01-03,74.49,75.6,76.25,75.4,76.25,6382057
2024-01-04,74.44,75.55,75.8,75.45,75.6,2976905
2024-01-05,74.24,75.35,75.8,75.25,75.55,2577533
2024-01-08,74.78,75.9,76.2,75.6,75.6,4169890
2024-01-09,74.73,75.85,76.4,75.8,76.25,2222119
2024-01-10,74.44,75.55,75.7,75.3,75.55,2856528
2024-01-11,74.78,75.9,76,75.55,75.75,2105103
2024-01-12,74.58,75.7,75.95,75.3,75.65,3444011
2024-01-15,74.58,75.7,75.7,75.7,75.7,0
2024-01-16,74.09,75.2,75.65,74.85,75.45,7100004
2024-01-17,73.6,74.7,75.2,74.55,75.2,5515147
2024-01-18,73.89,75,75.15,74.75,74.8,2923499
2024-01-19,76.36,77.5,77.55,76.45,76.45,9726878
2024-01-22,76.75,77.9,78.25,77.65,77.95,5353117
2024-01-23,77,78.15,78.25,77.8,78.05,4540837
2024-01-24,77.05,78.2,78.4,78.1,78.25,2946520
2024-01-25,77.93,79.1,79.15,78.6,78.6,6660832
2024-01-26,77.93,79.1,79.3,78.9,79.05,8314139
2024-01-29,78.43,79.6,79.6,79.1,79.1,3133609
2024-01-30,78.28,79.45,79.65,79.35,79.55,3527389
2024-01-31,77.29,78.45,79,78.35,79,4006477
2024-02-01,77.29,78.45,78.5,77.95,78.4,3786058
2024-02-02,77.79,78.95,79,78.65,78.85,2872494
2024-02-05,78.38,79.55,79.55,78.85,78.95,3459361
2024-02-15,81.73,82.95,83.9,82.45,82.8,12212344
2024-02-16,81.28,82.5,83.05,82.45,82.95,4879908
2024-02-19,81.19,82.4,82.45,82.05,82.45,3684396
2024-02-20,81.48,82.7,82.95,82.2,82.3,3327542
2024-02-21,81.19,82.4,82.65,82.35,82.6,1969242
2024-02-22,82.12,83.35,83.4,82.8,83,4522135
2024-02-23,82.66,83.9,84.1,83.7,83.8,4931105
2024-02-26,82.91,84.15,84.2,83.55,83.9,4093376
2024-02-27,82.61,83.85,84.25,83.3,84.15,3633423
2024-02-29,82.71,83.95,84.1,83.45,83.65,3438425
2024-03-01,82.47,83.7,84.2,83.65,84,3894477
2024-03-04,84.58,85.85,85.95,84.85,84.85,5869637
2024-03-05,85.37,86.65,86.8,86.05,86.2,4919564
2024-03-06,85.86,87.15,87.2,85.65,85.9,7467152
2024-03-07,87.64,88.95,89.3,88.05,88.1,6475910
2024-03-08,88.77,90.1,91.2,89.3,91,10068413
2024-03-11,87.98,89.3,90,89.15,89.7,5694562
2024-03-12,88.87,90.2,90.2,88.95,89.15,3679272
2024-03-13,89.46,90.8,91.3,90.55,90.7,4955842
2024-03-14,89.21,90.55,90.95,90.05,90.8,3268995
2024-03-15,88.48,89.8,90.35,89.75,90,3283850
2024-03-18,88.97,90.3,90.3,89.55,89.7,5576798
2024-03-19,88.97,90.3,90.4,89.5,89.85,3838089
2024-03-20,88.57,89.9,90.7,89.6,90.3,3989576
2024-03-21,90.64,92,92.05,90.85,90.85,5031863
2024-03-22,90.69,92.05,92.4,91.5,92,4367837
2024-03-25,90.74,92.1,92.45,91.75,92.25,3787938
2024-03-26,90.84,92.2,93.05,91.4,92.2,6704546
2024-03-27,90.89,92.25,92.35,91.8,92.25,4414936
2024-03-28,90.45,91.8,92.15,91.15,92.1,3028411
2024-03-29,90.79,92.15,92.35,91.8,91.8,1933000
2024-04-01,90.5,91.85,92.75,91.85,92.5,3178274
2024-04-02,91.83,93.2,93.3,92.5,92.5,3347939
2024-04-03,91.43,92.8,92.95,92.15,92.8,3824520
2024-04-08,91.73,93.1,93.5,92.7,92.8,5197996
2024-04-09,94.04,95.45,95.45,93.3,93.3,4059945
2024-04-10,93.94,95.35,95.5,95,95.45,2959208
2024-04-11,93.55,94.95,95,94.4,94.8,4120034
2024-04-12,93.4,94.8,95.2,94.65,94.95,2875910
2024-04-15,92.42,93.8,94.3,93.4,94.15,6489935
2024-04-16,89.95,91.3,92.75,90.75,92.65,13516395
2024-04-17,90.99,92.35,92.6,91.35,91.35,3160215
2024-04-18,91.68,93.05,93.05,91.25,91.95,3632207
2024-04-19,87.2,88.5,90.55,88,90.55,23274016
2024-04-22,86.7,88,88.9,87.7,88.1,7886956
2024-04-23,87.44,88.75,89.25,88.55,89.2,3992377
2024-04-24,90.05,91.4,91.6,90,90,4315196
2024-04-25,88.62,89.95,90.5,89.75,90.45,4120009
2024-04-26,90,91.35,91.85,91,91.1,4592394
2024-04-29,91.38,92.75,93.05,91.9,91.9,4081007
2024-04-30,91.33,92.7,93.3,92.7,92.9,2593321
2024-05-02,90.15,91.5,92.2,91.3,92.2,3619537
2024-05-03,90.64,92,93,91.6,93,2331077
2024-05-06,91.92,93.3,93.8,93,93,4983080
2024-05-07,92.37,93.75,93.95,93.3,93.7,2818237
2024-05-08,92.71,94.1,94.15,93.45,93.7,2383876
2024-05-09,92.61,94,94.45,93.9,94.1,2445694
2024-05-10,93.35,94.75,94.95,94.05,94.45,2787913
2024-05-13,93.99,95.4,96,95.35,95.65,4509173
2024-05-14,94.73,96.15,96.15,95.2,95.3,2690743
2024-05-15,96.06,97.5,98.2,96.65,96.65,4232415
2024-05-16,96.65,98.1,99.3,97.85,98.7,7812350
2024-05-17,96.36,97.8,98.2,97.65,98.1,3381637
2024-05-20,96.21,97.65,98,96.75,97.9,5298248
2024-05-21,96.16,97.6,97.75,97.05,97.6,2494702
2024-05-22,98.03,99.5,99.55,97.75,97.75,3972285
